# WAVELENGTH    FLUX        
  2557.912109   5.3247E-13  
  2559.2854     5.4002E-13  
  2560.658691   5.5575E-13  
  2562.031982   5.274E-13   
  2563.405029   4.9831E-13  
  2564.77832    4.3985E-13  
  2566.151611   5.1945E-13  
  2567.524658   5.7082E-13  
  2568.897949   5.5009E-13  
  2570.27124    5.5727E-13  
  2571.644287   5.6234E-13  
  2573.017578   5.5123E-13  
  2574.390625   5.7399E-13  
  2575.763916   5.72E-13    
  2577.136963   5.1819E-13  
  2578.510254   5.0612E-13  
  2579.883301   5.5395E-13  
  2581.256592   5.7704E-13  
  2582.629639   5.7946E-13  
  2584.00293    5.4203E-13  
  2585.375977   5.5192E-13  
  2586.749023   4.8232E-13  
  2588.122314   4.6515E-13  
  2589.495361   5.5643E-13  
  2590.868408   6.0943E-13  
  2592.241455   6.1097E-13  
  2593.614502   5.6991E-13  
  2594.987793   5.48E-13    
  2596.36084    5.6564E-13  
  2597.733887   5.7669E-13  
  2599.106934   4.7775E-13  
  2600.47998    3.627E-13   
  2601.853027   3.8805E-13  
  2603.226074   5.5857E-13  
  2604.599121   5.9654E-13  
  2605.972168   5.3323E-13  
  2607.345215   4.6674E-13  
  2608.718262   3.9746E-13  
  2610.091309   4.9328E-13  
  2611.464111   5.1606E-13  
  2612.837158   4.3271E-13  
  2614.210205   3.9301E-13  
  2615.583252   4.1389E-13  
  2616.956055   4.8362E-13  
  2618.329102   5.2499E-13  
  2619.702148   4.864E-13   
  2621.074951   5.5781E-13  
  2622.447998   5.5653E-13  
  2623.820801   5.5562E-13  
  2625.193848   5.7627E-13  
  2626.56665    5.4489E-13  
  2627.939697   4.8723E-13  
  2629.3125     4.9572E-13  
  2630.685547   4.7038E-13  
  2632.05835    4.3695E-13  
  2633.431152   3.9598E-13  
  2634.804199   5.447E-13   
  2636.177002   6.3575E-13  
  2637.549805   6.4393E-13  
  2638.922607   6.6867E-13  
  2640.295654   6.8924E-13  
  2641.668457   6.9401E-13  
  2643.04126    6.9081E-13  
  2644.414062   7.1401E-13  
  2645.786865   7.1756E-13  
  2647.159668   7.047E-13   
  2648.532471   7.0426E-13  
  2649.905273   7.0576E-13  
  2651.278076   7.0791E-13  
  2652.650879   7.0851E-13  
  2654.023682   7.0407E-13  
  2655.39624    7.046E-13   
  2656.769043   7.3206E-13  
