# WAVELENGTH    FLUX         
  2740.372559   1.2537E-13   
  2741.744873   1.2719E-13   
  2743.117188   1.1478E-13   
  2744.489502   1.094E-13    
  2745.861816   1.3002E-13   
  2747.233887   1.16E-13     
  2748.606201   1.1449E-13   
  2749.978516   1.1002E-13   
  2751.350586   1.2554E-13   
  2752.7229     1.6136E-13   
  2754.095215   1.7564E-13   
  2755.467285   1.4674E-13   
  2756.8396     1.3117E-13   
  2758.21167    1.7706E-13   
  2759.58374    2.3673E-13   
  2760.956055   2.2308E-13   
  2762.328125   2.0692E-13   
  2763.700195   2.0123E-13   
  2765.072266   2.3855E-13   
  2766.44458    2.3937E-13   
  2767.81665    2.2274E-13   
  2769.188721   2.1723E-13   
  2770.560791   2.1624E-13   
  2771.932861   2.3615E-13   
  2773.304932   2.276E-13    
  2774.676758   2.4329E-13   
  2776.048828   2.2018E-13   
  2777.420898   1.9617E-13   
  2778.792969   1.7264E-13   
  2780.165039   1.5435E-13   
  2781.536865   1.5164E-13   
  2782.908936   1.5031E-13   
  2784.280762   1.4674E-13   
  2785.652832   1.4949E-13   
  2787.024658   1.4447E-13   
  2788.396729   1.2912E-13   
  2789.768555   1.1253E-13   
  2791.140625   9.6832E-14   
  2792.512451   8.1013E-14   
  2793.884277   6.8873E-14   
  2795.256104   6.1258E-14   
  2796.62793    6.3151E-14   
  2798.0        5.6784E-14   
  2799.371826   6.0452E-14   
  2800.743652   6.5447E-14   
  2802.115479   6.1287E-14   
  2803.487305   6.6192E-14   
  2804.858887   6.5641E-14   
  2806.230713   8.1405E-14   
  2807.602539   1.0318E-13   
  2808.974365   1.235E-13    
  2810.345947   1.4262E-13   
  2811.717773   1.5082E-13   
  2813.0896     1.6047E-13   
  2814.461182   1.8361E-13   
  2815.833008   2.1556E-13   
  2817.20459    2.156E-13    
  2818.576416   2.2356E-13   
  2819.947998   2.3841E-13   
  2821.31958    2.503E-13    
  2822.691162   2.588E-13    
  2824.062988   2.7273E-13   
  2825.43457    2.6835E-13   
  2826.806152   2.5306E-13   
  2828.177734   2.7544E-13   
  2829.549316   2.8706E-13   
  2830.920898   3.05E-13     
  2832.29248    3.0542E-13   
  2833.664062   2.9819E-13   
  2835.0354     2.813E-13    
  2836.406982   2.4826E-13   
  2837.778564   2.9123E-13   
  2839.150146   3.0106E-13   
  2840.521484   2.8086E-13   
  2841.893066   2.6909E-13   
  2843.264404   2.6288E-13   
  2844.635986   2.292E-13    
  2846.007324   2.3743E-13   
  2847.378662   1.9824E-13   
  2848.750244   1.5979E-13   
  2850.121582   1.2259E-13   
  2851.49292    9.0145E-14   
  2852.864258   6.9789E-14   
  2854.235596   8.9167E-14   
  2855.606934   1.2365E-13   
  2856.978271   1.617E-13    
  2858.349609   2.0321E-13   
  2859.720947   2.4353E-13   
  2861.092285   2.8721E-13   
  2862.463623   3.0383E-13   
  2863.834717   3.1217E-13   
  2865.206055   3.3349E-13   
  2866.577393   3.2879E-13   
  2867.948486   3.0086E-13   
  2869.319824   2.8754E-13   
  2870.690918   3.2499E-13   
  2872.062256   3.8439E-13   
  2873.43335    3.7218E-13   
  2874.804443   3.3859E-13   
  2876.175537   3.2683E-13   
  2877.546875   3.1256E-13   
  2878.917969   2.9899E-13   
  2880.289062   2.4034E-13   
  2881.660156   1.8585E-13   
  2883.03125    2.0356E-13   
  2884.402344   2.9374E-13   
  2885.773438   3.7609E-13   
  2887.144287   3.7703E-13   
  2888.515381   3.7412E-13   
  2889.886475   3.7187E-13   
  2891.257324   3.7956E-13   
  2892.628418   3.8515E-13   
  2893.999268   3.9355E-13   
  2895.370361   4.2831E-13   
  2896.741211   4.7816E-13   
  2898.112305   4.9775E-13   
  2899.483154   5.2381E-13   
  2900.854004   5.947E-13    
  2902.224854   5.6978E-13   
  2903.595947   5.7946E-13   
  2904.966797   6.0355E-13   
  2906.337646   5.7939E-13   
  2907.708496   5.5692E-13   
