# WAVELENGTH    FLUX        
  2275.61499    9.8237E-14  
  2276.98877    9.8514E-14  
  2278.362549   1.0232E-13  
  2279.736328   1.028E-13   
  2281.110107   1.0635E-13  
  2282.483887   1.1004E-13  
  2283.857666   1.0435E-13  
  2285.231445   1.0955E-13  
  2286.605225   1.0467E-13  
  2287.979004   1.0335E-13  
  2289.352783   1.0342E-13  
  2290.726562   1.0273E-13  
  2292.100586   1.0469E-13  
  2293.474365   1.0574E-13  
  2294.848145   1.0614E-13  
  2296.221924   1.052E-13   
  2297.595703   9.5994E-14  
  2298.969482   9.6322E-14  
  2300.343262   1.0092E-13  
  2301.717041   1.0497E-13  
  2303.09082    1.055E-13   
  2304.4646     1.0943E-13  
  2305.838379   1.1502E-13  
  2307.212158   1.1487E-13  
  2308.586182   1.1527E-13  
  2309.959961   1.1475E-13  
  2311.33374    1.1089E-13  
  2312.70752    1.0574E-13  
  2314.081299   1.0736E-13  
  2315.455078   1.1378E-13  
  2316.828857   1.1577E-13  
  2318.202637   1.172E-13   
  2319.576416   1.1479E-13  
  2320.950195   1.1493E-13  
  2322.323975   1.18E-13    
  2323.697754   1.2188E-13  
  2325.071533   1.1878E-13  
  2326.445557   1.1302E-13  
  2327.819336   1.14E-13    
  2329.193115   1.2186E-13  
  2330.566895   1.1536E-13  
  2331.940674   1.0956E-13  
  2333.314453   1.0775E-13  
  2334.688232   1.1587E-13  
  2336.062012   1.1714E-13  
  2337.435791   1.1203E-13  
  2338.80957    1.0669E-13  
  2340.18335    1.1482E-13  
  2341.557129   1.1968E-13  
  2342.930908   1.0403E-13  
  2344.304688   8.3279E-14  
  2345.678467   9.3164E-14  
  2347.052246   1.0159E-13  
  2348.426025   9.6337E-14  
  2349.799805   1.1499E-13  
  2351.173584   1.2486E-13  
  2352.547363   1.2955E-13  
  2353.921143   1.2761E-13  
  2355.295166   1.2041E-13  
  2356.668945   1.2572E-13  
  2358.042725   1.278E-13   
  2359.416504   1.1222E-13  
  2360.790039   1.0707E-13  
